序号, 活动量,光强 ,温度 ,声音强度
0001, -001, 0000, 0000, 0000
0002, -001, 0000, 0000, 0000
0003, -001, 0000, 0000, 0000
0004, -001, 0000, 0000, 0000
0005, -001, 0000, 0000, 0000
0006, -001, 0000, 0000, 0000
0007, -001, 0000, 0000, 0000
0008, -001, 0000, 0000, 0000
0009, -001, 0000, 0000, 0000
0010, -001, 0000, 0000, 0000
0011, -001, 0000, 0000, 0000
0012, -001, 0000, 0000, 0000
0013, -001, 0000, 0000, 0000
0014, -001, 0000, 0000, 0000
0015, -001, 0000, 0000, 0000
0016, -001, 0000, 0000, 0000
0017, -001, 0000, 0000, 0000
0018, -001, 0000, 0000, 0000
0019, -001, 0000, 0000, 0000
0020, -001, 0000, 0000, 0000
0021, -001, 0000, 0000, 0000
0022, -001, 0000, 0000, 0000
0023, -001, 0000, 0000, 0000
0024, -001, 0000, 0000, 0000
0025, -001, 0000, 0000, 0000
0026, -001, 0000, 0000, 0000
0027, -001, 0000, 0000, 0000
0028, -001, 0000, 0000, 0000
0029, -001, 0000, 0000, 0000
0030, -001, 0000, 0000, 0000
0031, -001, 0000, 0000, 0000
0032, -001, 0000, 0000, 0000
0033, -001, 0000, 0000, 0000
0034, -001, 0000, 0000, 0000
0035, -001, 0000, 0000, 0000
0036, -003, -003, -003, -003
0037, -001, 0000, 0000, 0000
0038, 0000, 0000, 0026, 0132
0039, 0305, 0000, 0026, 0132
0040, 0311, 0000, 0026, 0132
0041, 0252, 0000, 0026, 0132
0042, 0257, 0000, 0026, 0132
0043, 0270, 0000, 0026, 0132
0044, 0266, 0000, 0026, 0132
0045, 0263, 0000, 0026, 0132
0046, 0259, 0000, 0026, 0132
0047, 0262, 0000, 0026, 0132
0048, 0262, 0000, 0026, 0132
0049, 0000, 0000, 0026, 0132
0050, 0263, 0000, 0026, 0132
0051, 0283, 0000, 0026, 0132
0052, 0281, 0000, 0026, 0132
0053, 0256, 0000, 0026, 0132
0054, 0219, 0000, 0026, 0132
0055, 0281, 0000, 0026, 0132
0056, 0259, 0000, 0026, 0132
0057, 0257, 0000, 0026, 0132
0058, 0270, 0000, 0026, 0132
0059, 0279, 0000, 0026, 0132
0060, 0234, 0000, 0026, 0132
0061, 0266, 0000, 0026, 0132
0062, 0264, 0000, 0026, 0132
0063, 0275, 0000, 0026, 0132
0064, 0274, 0000, 0026, 0132
0065, 0294, 0000, 0026, 0132
0066, 0260, 0000, 0026, 0132
0067, 0297, 0000, 0026, 0132
0068, 0271, 0000, 0026, 0132
0069, 0273, 0000, 0026, 0132
0070, 0239, 0000, 0026, 0132
0071, 0278, 0000, 0026, 0132
0072, 0260, 0000, 0026, 0132
0073, 0283, 0000, 0026, 0132
0074, 0249, 0000, 0026, 0132
0075, 0268, 0000, 0026, 0132
0076, 0266, 0000, 0026, 0132
0077, 0292, 0000, 0026, 0132
0078, 0274, 0000, 0026, 0132
0079, 0280, 0000, 0026, 0132
0080, 0259, 0000, 0026, 0132
0081, 0301, 0000, 0026, 0132
0082, 0265, 0000, 0026, 0132
0083, 0264, 0000, 0026, 0132
0084, 0264, 0000, 0026, 0132
0085, 0000, 0000, 0026, 0132
0086, -002, -002, -002, -002
0087, -001, 0000, 0000, 0000
0088, -001, 0000, 0000, 0000
0089, -001, 0000, 0000, 0000
0090, -001, 0000, 0000, 0000
0091, -001, 0000, 0000, 0000
0092, -001, 0000, 0000, 0000
0093, -001, 0000, 0000, 0000
0094, -001, 0000, 0000, 0000
0095, -001, 0000, 0000, 0000
0096, -001, 0000, 0000, 0000
