序号, 活动量,光强 ,温度 ,声音强度
0001, 0232, 0008, 0026, 0068
0002, 0247, 0008, 0026, 0068
0003, 0265, 0004, 0026, 0066
0004, 0261, 0004, 0026, 0066
0005, 0229, 0008, 0026, 0067
0006, 0261, 0008, 0026, 0067
0007, 0223, 0000, 0026, 0067
0008, 0249, 0000, 0026, 0067
0009, 0252, 0000, 0026, 0067
0010, 0252, 0000, 0026, 0067
0011, 0250, 0006, 0026, 0066
0012, 0246, 0006, 0026, 0066
0013, 0245, 0000, 0026, 0066
0014, 0228, 0000, 0026, 0066
0015, 0256, 0000, 0026, 0067
0016, 0260, 0000, 0026, 0067
0017, 0250, 0000, 0026, 0067
0018, 0281, 0000, 0026, 0067
0019, 0228, 0013, 0026, 0066
0020, 0249, 0013, 0026, 0066
0021, 0241, 0035, 0026, 0067
0022, 0270, 0035, 0026, 0067
0023, 0248, 0029, 0026, 0065
0024, 0000, 0029, 0026, 0065
0025, 0000, 0030, 0026, 0066
0026, -002, -002, -002, -002
0027, -003, -003, -003, -003
0028, 0000, 0030, 0026, 0066
0029, 0464, 0030, 0026, 0066
0030, 0209, 0030, 0026, 0066
0031, 0235, 0045, 0026, 0066
0032, 0302, 0045, 0026, 0066
0033, 0307, 0003, 0026, 0065
0034, 0216, 0003, 0026, 0065
0035, 0206, 0025, 0026, 0067
0036, 0235, 0025, 0026, 0067
0037, 0245, 0029, 0026, 0067
0038, 0257, 0029, 0026, 0067
0039, 0327, 0016, 0026, 0067
0040, 0246, 0016, 0026, 0067
0041, 0232, 0025, 0026, 0067
0042, 0246, 0025, 0026, 0067
0043, 0260, 0003, 0026, 0067
0044, 0252, 0003, 0026, 0067
0045, -001, 0000, 0000, 0000
0046, 0243, 0017, 0026, 0067
0047, -001, 0000, 0000, 0000
0048, -001, 0000, 0000, 0000
0049, -001, 0000, 0000, 0000
0050, 0000, 0000, 0000, 0000
0051, 0274, 0000, 0026, 0071
0052, 0251, 0000, 0026, 0071
0053, 0247, 0035, 0026, 0067
0054, 0000, 0035, 0026, 0067
0055, 0000, 0038, 0026, 0066
0056, -002, -002, -002, -002
0057, -001, 0000, 0000, 0000
0058, -001, 0000, 0000, 0000
0059, -001, 0000, 0000, 0000
0060, -001, 0000, 0000, 0000
0061, -001, 0000, 0000, 0000
0062, -001, 0000, 0000, 0000
0063, -001, 0000, 0000, 0000
0064, -001, 0000, 0000, 0000
0065, -001, 0000, 0000, 0000
0066, -003, -003, -003, -003
0067, 0000, 0038, 0026, 0066
0068, 0255, 0045, 0026, 0066
0069, 0209, 0045, 0026, 0066
0070, 0271, 0024, 0026, 0067
0071, 0249, 0024, 0026, 0067
0072, 0251, 0021, 0026, 0066
0073, 0242, 0021, 0026, 0066
0074, 0234, 0037, 0026, 0066
0075, 0256, 0037, 0026, 0066
0076, 0251, 0035, 0026, 0067
0077, 0247, 0035, 0026, 0067
0078, 0244, 0051, 0026, 0067
0079, 0253, 0051, 0026, 0067
0080, 0000, 0012, 0026, 0066
0081, 0249, 0012, 0026, 0066
0082, 0252, 0015, 0026, 0066
0083, 0251, 0015, 0026, 0066
0084, 0255, 0022, 0026, 0051
0085, 0236, 0022, 0026, 0051
0086, 0263, 0030, 0026, 0068
0087, 0240, 0030, 0026, 0068
0088, 0238, 0027, 0026, 0066
0089, 0242, 0027, 0026, 0066
0090, 0242, 0040, 0026, 0067
0091, 0256, 0040, 0026, 0067
0092, 0303, 0041, 0026, 0067
0093, 0250, 0041, 0026, 0067
0094, 0248, 0030, 0026, 0067
0095, 0000, 0030, 0026, 0067
0096, -002, -002, -002, -002
0097, -001, 0000, 0000, 0000
0098, -001, 0000, 0000, 0000
0099, -001, 0000, 0000, 0000
0100, -001, 0000, 0000, 0000
0101, -001, 0000, 0000, 0000
0102, -001, 0000, 0000, 0000
0103, -001, 0000, 0000, 0000
0104, -001, 0000, 0000, 0000
0105, -001, 0000, 0000, 0000
0106, -001, 0000, 0000, 0000
0107, -001, 0000, 0000, 0000
0108, -001, 0000, 0000, 0000
0109, -001, 0000, 0000, 0000
0110, -001, 0000, 0000, 0000
0111, -001, 0000, 0000, 0000
0112, -001, 0000, 0000, 0000
0113, -001, 0000, 0000, 0000
0114, -001, 0000, 0000, 0000
0115, -001, 0000, 0000, 0000
0116, -001, 0000, 0000, 0000
0117, -001, 0000, 0000, 0000
0118, -003, -003, -003, -003
0119, 0000, 0037, 0026, 0102
0120, 0339, 0037, 0026, 0102
0121, 0270, 0003, 0026, 0066
0122, 0264, 0003, 0026, 0066
0123, 0253, 0000, 0026, 0066
0124, 0000, 0000, 0026, 0066
0125, 0000, 0000, 0026, 0066
0126, 0256, 0000, 0026, 0066
0127, 0240, 0000, 0026, 0066
0128, 0248, 0000, 0026, 0066
0129, 0237, 0000, 0026, 0066
0130, 0253, 0000, 0026, 0066
0131, 0254, 0000, 0026, 0067
0132, 0251, 0000, 0026, 0067
0133, 0256, 0000, 0026, 0067
0134, 0245, 0000, 0026, 0067
0135, 0255, 0000, 0026, 0066
0136, 0255, 0000, 0026, 0066
0137, 0252, 0000, 0026, 0067
0138, 0265, 0000, 0026, 0067
0139, 0245, 0000, 0026, 0067
0140, 0252, 0000, 0026, 0067
0141, 0250, 0000, 0026, 0065
0142, 0248, 0000, 0026, 0065
0143, 0248, 0000, 0026, 0067
0144, 0251, 0000, 0026, 0067
0145, 0261, 0000, 0026, 0067
0146, 0237, 0000, 0026, 0067
0147, 0255, 0000, 0026, 0068
0148, 0264, 0000, 0026, 0068
0149, 0255, 0000, 0026, 0067
0150, 0226, 0000, 0026, 0067
0151, 0255, 0000, 0026, 0067
0152, 0000, 0000, 0026, 0067
0153, 0000, 0000, 0026, 0067
0154, 0256, 0000, 0026, 0067
0155, 0266, 0000, 0026, 0066
0156, 0256, 0000, 0026, 0066
0157, 0252, 0000, 0026, 0066
0158, 0250, 0000, 0026, 0066
0159, 0258, 0000, 0026, 0067
0160, 0246, 0000, 0026, 0067
0161, 0232, 0000, 0026, 0064
0162, 0240, 0000, 0026, 0064
0163, 0256, 0000, 0026, 0066
0164, 0294, 0000, 0026, 0066
0165, 0285, 0000, 0026, 0061
0166, 0236, 0000, 0026, 0061
0167, 0264, 0000, 0026, 0067
0168, 0247, 0000, 0026, 0067
0169, 0251, 0000, 0026, 0066
0170, 0238, 0000, 0026, 0066
0171, 0256, 0000, 0026, 0067
0172, 0000, 0000, 0026, 0067
0173, 0253, 0000, 0026, 0066
0174, 0253, 0000, 0026, 0066
0175, 0257, 0000, 0026, 0067
0176, 0000, 0000, 0026, 0067
0177, 0255, 0000, 0026, 0068
0178, 0241, 0000, 0026, 0068
0179, 0253, 0000, 0026, 0067
0180, 0255, 0000, 0026, 0067
0181, 0257, 0000, 0026, 0061
0182, 0254, 0000, 0026, 0061
0183, 0236, 0000, 0026, 0068
0184, 0238, 0000, 0026, 0068
0185, 0273, 0000, 0026, 0066
0186, 0292, 0000, 0026, 0066
0187, 0248, 0000, 0026, 0064
0188, 0239, 0000, 0026, 0064
0189, 0273, 0000, 0026, 0065
0190, 0260, 0000, 0026, 0065
0191, 0246, 0000, 0026, 0068
0192, 0308, 0000, 0026, 0068
0193, 0279, 0000, 0026, 0066
0194, 0266, 0000, 0026, 0066
0195, 0283, 0000, 0026, 0067
0196, 0256, 0000, 0026, 0067
0197, 0268, 0000, 0026, 0066
0198, 0276, 0000, 0026, 0066
0199, 0206, 0000, 0026, 0064
0200, 0262, 0000, 0026, 0064
0201, 0259, 0000, 0026, 0070
0202, 0294, 0000, 0026, 0070
0203, 0193, 0000, 0026, 0066
0204, 0177, 0000, 0026, 0066
0205, 0298, 0011, 0026, 0066
0206, 0277, 0011, 0026, 0066
0207, 0587, 0000, 0026, 0066
0208, 0279, 0000, 0026, 0066
0209, 0223, 0006, 0026, 0067
0210, 0300, 0006, 0026, 0067
0211, 0249, 0000, 0026, 0066
0212, 0243, 0000, 0026, 0066
0213, 0243, 0000, 0026, 0067
0214, 0267, 0000, 0026, 0067
0215, 0234, 0000, 0026, 0066
0216, 0254, 0000, 0026, 0066
0217, 0248, 0010, 0026, 0067
0218, 0246, 0010, 0026, 0067
