序号, 活动量,光强 ,温度 ,声音强度
0001, -001, 0000, 0000, 0000
0002, -001, 0000, 0000, 0000
0003, -001, 0000, 0000, 0000
0004, -001, 0000, 0000, 0000
0005, -001, 0000, 0000, 0000
0006, -001, 0000, 0000, 0000
0007, -001, 0000, 0000, 0000
0008, -001, 0000, 0000, 0000
0009, -001, 0000, 0000, 0000
0010, -001, 0000, 0000, 0000
0011, -001, 0000, 0000, 0000
0012, -001, 0000, 0000, 0000
0013, -001, 0000, 0000, 0000
0014, -001, 0000, 0000, 0000
0015, -001, 0000, 0000, 0000
0016, -003, -003, -003, -003
0017, 0000, 0000, 0026, 0068
0018, 0264, 0000, 0026, 0068
0019, 0249, 0000, 0026, 0097
0020, 0241, 0000, 0026, 0097
0021, 0260, 0000, 0026, 0086
0022, 0270, 0000, 0026, 0086
0023, 0257, 0000, 0026, 0061
0024, 0238, 0000, 0026, 0061
0025, 0232, 0000, 0026, 0072
0026, 0250, 0000, 0026, 0072
0027, 0000, 0000, 0026, 0055
0028, 0246, 0000, 0026, 0055
0029, 0000, 0000, 0026, 0063
0030, 0000, 0000, 0026, 0063
0031, -002, -002, -002, -002
0032, -001, 0000, 0000, 0000
0033, -001, 0000, 0000, 0000
0034, -003, -003, -003, -003
0035, 0199, 0000, 0026, 0074
0036, 0245, 0000, 0026, 0074
0037, 0000, 0000, 0026, 0086
0038, 0000, 0000, 0026, 0086
0039, 0000, 0000, 0026, 0051
0040, -002, -002, -002, -002
0041, -001, 0000, 0000, 0000
0042, -001, 0000, 0000, 0000
0043, -001, 0000, 0000, 0000
0044, -001, 0000, 0000, 0000
0045, -001, 0000, 0000, 0000
0046, -003, -003, -003, -003
0047, 0000, 0000, 0026, 0051
0048, 0244, 0000, 0026, 0095
0049, 0000, 0000, 0026, 0095
0050, 0246, 0000, 0026, 0056
0051, 0000, 0000, 0026, 0056
0052, -002, -002, -002, -002
0053, -001, 0000, 0000, 0000
0054, -001, 0000, 0000, 0000
0055, -001, 0000, 0000, 0000
0056, -001, 0000, 0000, 0000
0057, -001, 0000, 0000, 0000
0058, -001, 0000, 0000, 0000
0059, -001, 0000, 0000, 0000
0060, -001, 0000, 0000, 0000
0061, -001, 0000, 0000, 0000
0062, -001, 0000, 0000, 0000
0063, -001, 0000, 0000, 0000
0064, -001, 0000, 0000, 0000
0065, -001, 0000, 0000, 0000
0066, -001, 0000, 0000, 0000
0067, -001, 0000, 0000, 0000
0068, -001, 0000, 0000, 0000
0069, -001, 0000, 0000, 0000
0070, -001, 0000, 0000, 0000
0071, -001, 0000, 0000, 0000
0072, -001, 0000, 0000, 0000
0073, -001, 0000, 0000, 0000
0074, -001, 0000, 0000, 0000
0075, -001, 0000, 0000, 0000
0076, -001, 0000, 0000, 0000
0077, -001, 0000, 0000, 0000
0078, -001, 0000, 0000, 0000
0079, -001, 0000, 0000, 0000
0080, -001, 0000, 0000, 0000
0081, -001, 0000, 0000, 0000
0082, -001, 0000, 0000, 0000
0083, -001, 0000, 0000, 0000
0084, -001, 0000, 0000, 0000
0085, -001, 0000, 0000, 0000
0086, -001, 0000, 0000, 0000
0087, -001, 0000, 0000, 0000
0088, -001, 0000, 0000, 0000
0089, -001, 0000, 0000, 0000
0090, -001, 0000, 0000, 0000
0091, -001, 0000, 0000, 0000
0092, -001, 0000, 0000, 0000
0093, -001, 0000, 0000, 0000
0094, -001, 0000, 0000, 0000
0095, -001, 0000, 0000, 0000
0096, -001, 0000, 0000, 0000
0097, -001, 0000, 0000, 0000
0098, -001, 0000, 0000, 0000
