序号, 活动量,光强 ,温度 ,声音强度
0001, -001, 0000, 0000, 0000
0002, -001, 0000, 0000, 0000
0003, -001, 0000, 0000, 0000
0004, -001, 0000, 0000, 0000
0005, -001, 0000, 0000, 0000
0006, -001, 0000, 0000, 0000
0007, -001, 0000, 0000, 0000
0008, -001, 0000, 0000, 0000
0009, -001, 0000, 0000, 0000
0010, -001, 0000, 0000, 0000
0011, -001, 0000, 0000, 0000
0012, -001, 0000, 0000, 0000
0013, -001, 0000, 0000, 0000
0014, -001, 0000, 0000, 0000
0015, -001, 0000, 0000, 0000
0016, -003, -003, -003, -003
0017, 0000, 0000, 0026, 0068
0018, 0282, 0000, 0026, 0066
0019, 0277, 0000, 0026, 0066
0020, 0272, 0000, 0026, 0073
0021, 0264, 0000, 0026, 0073
0022, 0278, 0000, 0026, 0059
0023, 0000, 0000, 0026, 0059
0024, 0000, 0000, 0026, 0063
0025, 0281, 0000, 0026, 0063
0026, 0239, 0000, 0026, 0068
0027, 0242, 0000, 0026, 0068
0028, 0268, 0000, 0026, 0061
0029, 0261, 0000, 0026, 0061
0030, 0287, 0000, 0026, 0092
0031, 0283, 0000, 0026, 0092
0032, 0229, 0000, 0026, 0062
0033, 0242, 0000, 0026, 0062
0034, 0189, 0000, 0026, 0073
0035, 0325, 0000, 0026, 0073
0036, 0293, 0000, 0026, 0055
0037, 0233, 0000, 0026, 0055
0038, 0156, 0000, 0026, 0081
0039, 0268, 0000, 0026, 0081
0040, 0276, 0000, 0026, 0059
0041, 0255, 0000, 0026, 0059
0042, 0209, 0000, 0026, 0049
0043, 0245, 0000, 0026, 0049
0044, 0319, 0000, 0026, 0078
0045, 0389, 0000, 0026, 0078
0046, 0323, 0000, 0026, 0048
0047, 0284, 0000, 0026, 0048
0048, 0288, 0000, 0026, 0080
0049, 0327, 0000, 0026, 0080
0050, 0245, 0000, 0026, 0050
0051, 0280, 0000, 0026, 0050
0052, 0315, 0000, 0026, 0066
0053, 0328, 0000, 0026, 0066
0054, 0299, 0000, 0026, 0070
0055, 0266, 0000, 0026, 0070
0056, 0244, 0000, 0026, 0035
0057, 0245, 0000, 0026, 0035
0058, 0284, 0000, 0026, 0054
0059, 0308, 0000, 0026, 0054
0060, 0268, 0000, 0026, 0073
0061, 0349, 0000, 0026, 0073
0062, 0368, 0000, 0026, 0079
0063, 0286, 0000, 0026, 0079
0064, 0209, 0000, 0026, 0082
0065, 0270, 0000, 0026, 0082
0066, 0235, 0000, 0026, 0055
0067, 0264, 0000, 0026, 0055
0068, 0258, 0000, 0026, 0070
0069, 0251, 0000, 0026, 0070
0070, 0255, 0000, 0026, 0045
0071, 0288, 0000, 0026, 0045
0072, 0353, 0000, 0026, 0088
0073, 0286, 0000, 0026, 0088
0074, 0292, 0000, 0026, 0063
0075, 0298, 0000, 0026, 0063
0076, 0275, 0000, 0026, 0067
0077, 0240, 0000, 0026, 0067
0078, 0218, 0000, 0026, 0061
0079, 0333, 0000, 0026, 0061
0080, 0357, 0000, 0026, 0043
0081, 0297, 0000, 0026, 0043
0082, 0244, 0000, 0026, 0058
0083, 0270, 0000, 0026, 0058
0084, 0246, 0000, 0026, 0081
0085, 0307, 0000, 0026, 0081
0086, 0317, 0000, 0026, 0064
0087, 0289, 0000, 0026, 0064
0088, 0275, 0000, 0026, 0059
0089, 0249, 0000, 0026, 0059
0090, 0277, 0000, 0026, 0069
0091, 0281, 0000, 0026, 0069
0092, 0437, 0000, 0026, 0079
0093, 0281, 0000, 0026, 0079
0094, 0264, 0000, 0026, 0059
