序号, 活动量,光强 ,温度 ,声音强度
0001, 0256, 0000, 0026, 0049
0002, 0248, 0000, 0026, 0049
0003, 0000, 0000, 0026, 0049
0004, 0000, 0000, 0026, 0049
0005, 0000, 0000, 0026, 0049
0006, -002, -002, -002, -002
0007, -001, 0000, 0000, 0000
0008, -001, 0000, 0000, 0000
0009, -001, 0000, 0000, 0000
0010, -001, 0000, 0000, 0000
0011, -001, 0000, 0000, 0000
0012, -001, 0000, 0000, 0000
0013, -001, 0000, 0000, 0000
0014, -001, 0000, 0000, 0000
0015, -001, 0000, 0000, 0000
0016, -001, 0000, 0000, 0000
0017, -001, 0000, 0000, 0000
0018, -001, 0000, 0000, 0000
0019, -001, 0000, 0000, 0000
0020, -001, 0000, 0000, 0000
0021, -001, 0000, 0000, 0000
0022, -001, 0000, 0000, 0000
0023, -001, 0000, 0000, 0000
0024, -001, 0000, 0000, 0000
0025, -001, 0000, 0000, 0000
0026, -001, 0000, 0000, 0000
0027, -001, 0000, 0000, 0000
0028, -001, 0000, 0000, 0000
0029, -001, 0000, 0000, 0000
0030, -001, 0000, 0000, 0000
0031, -001, 0000, 0000, 0000
0032, -001, 0000, 0000, 0000
0033, -001, 0000, 0000, 0000
0034, -001, 0000, 0000, 0000
0035, -001, 0000, 0000, 0000
0036, -001, 0000, 0000, 0000
0037, -001, 0000, 0000, 0000
0038, -001, 0000, 0000, 0000
0039, -001, 0000, 0000, 0000
0040, -001, 0000, 0000, 0000
0041, -001, 0000, 0000, 0000
0042, -001, 0000, 0000, 0000
0043, -001, 0000, 0000, 0000
0044, -001, 0000, 0000, 0000
0045, -001, 0000, 0000, 0000
0046, -001, 0000, 0000, 0000
0047, -003, -003, -003, -003
0048, -001, 0000, 0000, 0000
0049, 0000, 0000, 0026, 0049
0050, 0473, 0000, 0026, 0049
0051, 0239, 0000, 0026, 0049
0052, 0183, 0000, 0026, 0049
0053, 0269, 0000, 0026, 0049
0054, 0315, 0000, 0026, 0049
0055, 0211, 0000, 0026, 0049
0056, 0317, 0000, 0026, 0049
0057, 0192, 0000, 0026, 0049
0058, 0210, 0000, 0026, 0049
0059, 0171, 0000, 0026, 0049
0060, 0194, 0000, 0026, 0049
0061, 0280, 0000, 0026, 0049
0062, 0276, 0000, 0026, 0049
0063, 0241, 0000, 0026, 0049
0064, 0000, 0000, 0026, 0049
0065, 0000, 0000, 0026, 0049
0066, 0000, 0000, 0026, 0049
0067, -002, -002, -002, -002
0068, -001, 0000, 0000, 0000
