序号, 活动量,光强 ,温度 ,声音强度
0001, 0269, 0000, 0026, 0066
0002, 0237, 0000, 0026, 0066
0003, 0266, 0000, 0026, 0066
0004, 0253, 0000, 0026, 0066
0005, 0227, 0000, 0026, 0066
0006, 0325, 0000, 0026, 0066
0007, 0314, 0000, 0026, 0066
0008, 0300, 0000, 0026, 0066
0009, 0230, 0000, 0026, 0067
0010, 0213, 0000, 0026, 0067
0011, 0225, 0000, 0026, 0065
0012, 0320, 0000, 0026, 0065
0013, 0212, 0000, 0026, 0064
0014, 0370, 0000, 0026, 0064
0015, 0247, 0000, 0026, 0067
0016, 0336, 0000, 0026, 0067
0017, 0205, 0000, 0026, 0069
0018, 0323, 0000, 0026, 0069
0019, 0284, 0000, 0026, 0068
0020, 0341, 0000, 0026, 0068
0021, 0311, 0000, 0026, 0067
0022, 0559, 0000, 0026, 0067
0023, 0321, 0000, 0026, 0071
0024, 0369, 0000, 0026, 0071
0025, 0293, 0000, 0026, 0069
0026, 0403, 0000, 0026, 0069
0027, 0267, 0000, 0026, 0067
0028, 0301, 0000, 0026, 0067
0029, 0363, 0000, 0026, 0066
0030, 0307, 0000, 0026, 0066
0031, 0221, 0000, 0026, 0062
0032, 0142, 0000, 0026, 0062
0033, 0232, 0000, 0026, 0062
0034, 0255, 0000, 0026, 0062
0035, 0265, 0000, 0026, 0064
0036, 0341, 0000, 0026, 0064
0037, 0353, 0000, 0026, 0072
0038, 0202, 0000, 0026, 0072
0039, 0298, 0000, 0026, 0067
0040, 0288, 0000, 0026, 0067
0041, 0195, 0000, 0026, 0069
0042, 0204, 0000, 0026, 0069
0043, 0339, 0000, 0026, 0061
0044, 0275, 0000, 0026, 0061
0045, 0263, 0000, 0026, 0072
0046, 0282, 0000, 0026, 0072
0047, 0411, 0000, 0026, 0067
0048, 0292, 0000, 0026, 0067
0049, 0284, 0000, 0026, 0067
0050, 0395, 0000, 0026, 0067
0051, 0242, 0000, 0026, 0069
0052, 0271, 0000, 0026, 0069
0053, 0424, 0000, 0026, 0067
0054, 0277, 0000, 0026, 0067
0055, 0240, 0000, 0026, 0065
0056, 0264, 0000, 0026, 0065
0057, 0268, 0000, 0026, 0044
0058, 0250, 0000, 0026, 0044
0059, 0201, 0000, 0026, 0073
0060, 0249, 0000, 0026, 0073
0061, 0259, 0000, 0026, 0067
0062, 0322, 0000, 0026, 0067
0063, 0273, 0000, 0026, 0065
0064, 0256, 0000, 0026, 0065
